,ebpf-ratelimiter-main,bpf-filter-master,bcc,cilium,ingress-node-firewall-master,xdp-mptm-main,ebpf-samples,katran,ebpf-ratelimiter-main_count,bpf-filter-master_count,bcc_count,cilium_count,ingress-node-firewall-master_count,xdp-mptm-main_count,ebpf-samples_count,katran_count
handle_lxc_traffic,{'handle_lxc_traffic': {'children': {}}},{'handle_lxc_traffic': {'children': {}}},{'handle_lxc_traffic': {'children': {}}},"{'handle_lxc_traffic': {'children': {'ctx_store_meta': {'children': {}}, 'ctx_load_meta': {'children': {}}, 'from_host_to_lxc': {'children': {'ipv4_host_policy_egress': {'children': {'ct_create4': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'cilium_dbg3': {'children': {}}, 'send_signal_ct_fill_up': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}}}, 'ct_lookup4': {'children': {'ipv4_ct_extract_l4_ports': {'children': {'ipv4_handle_fragmentation': {'children': {'ipv4_frag_get_l4ports': {'children': {'memcpy': {'children': {'__bpf_memcpy': {'children': {'__bpf_memcpy_builtin': {'children': {}}}}}}}}, 'ipv4_is_not_first_fragment': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'update_metrics': {'children': {}}, 'ipv4_is_fragment': {'children': {}}, 'ct_to_metrics_dir': {'children': {}}}}}}, 'ipv4_ct_tuple_reverse': {'children': {'ct_flip_tuple_dir4': {'children': {}}, '__ipv4_ct_tuple_reverse': {'children': {}}}}, 'relax_verifier': {'children': {}}, '__ct_lookup': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ct_entry_seen_both_syns': {'children': {}}, 'cilium_dbg': {'children': {}}, 'ct_entry_alive': {'children': {}}, 'ct_entry_closing': {'children': {}}, 'ct_entry_expired_rebalance': {'children': {}}, '__ct_update_timeout': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ct_reset_closing': {'children': {}}}}, 'cilium_dbg': {'children': {}}, 'cilium_dbg3': {'children': {}}}}, 'send_policy_verdict_notify': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'policy_verdict_filter_allow': {'children': {}}}}, 'whitelist_snated_egress_connections': {'children': {'ct_create4': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'cilium_dbg3': {'children': {}}, 'send_signal_ct_fill_up': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}}}, 'ct_lookup4': {'children': {'ipv4_ct_extract_l4_ports': {'children': {'ipv4_handle_fragmentation': {'children': {'ipv4_frag_get_l4ports': {'children': {'memcpy': {'children': {'__bpf_memcpy': {'children': {'__bpf_memcpy_builtin': {'children': {}}}}}}}}, 'ipv4_is_not_first_fragment': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'update_metrics': {'children': {}}, 'ipv4_is_fragment': {'children': {}}, 'ct_to_metrics_dir': {'children': {}}}}}}, 'ipv4_ct_tuple_reverse': {'children': {'ct_flip_tuple_dir4': {'children': {}}, '__ipv4_ct_tuple_reverse': {'children': {}}}}, 'relax_verifier': {'children': {}}, '__ct_lookup': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ct_entry_seen_both_syns': {'children': {}}, 'cilium_dbg': {'children': {}}, 'ct_entry_alive': {'children': {}}, 'ct_entry_closing': {'children': {}}, 'ct_entry_expired_rebalance': {'children': {}}, '__ct_update_timeout': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ct_reset_closing': {'children': {}}}}, 'cilium_dbg': {'children': {}}, 'cilium_dbg3': {'children': {}}}}, 'ipv4_hdrlen': {'children': {}}, 'get_ct_map4': {'children': {}}}}, 'cilium_dbg': {'children': {}}, 'ipv4_hdrlen': {'children': {}}, 'policy_can_egress4': {'children': {'policy_can_egress': {'children': {'is_encap': {'children': {}}, '__policy_can_access': {'children': {'ctx_load_meta': {'children': {}}, 'ipv4_hdrlen': {'children': {}}, 'cilium_dbg3': {'children': {}}, 'account': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'ipv6_hdrlen': {'children': {'ipv6_authlen': {'children': {}}, 'ipv6_optlen': {'children': {}}}}}}, 'cilium_dbg': {'children': {}}}}}}, 'get_ct_map4': {'children': {}}}}, 'validate_ethertype': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, 'ctx_get_protocol': {'children': {'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'ipv6_host_policy_egress': {'children': {'policy_can_egress6': {'children': {'policy_can_egress': {'children': {'is_encap': {'children': {}}, '__policy_can_access': {'children': {'ctx_load_meta': {'children': {}}, 'ipv4_hdrlen': {'children': {}}, 'cilium_dbg3': {'children': {}}, 'account': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'ipv6_hdrlen': {'children': {'ipv6_authlen': {'children': {}}, 'ipv6_optlen': {'children': {}}}}}}, 'cilium_dbg': {'children': {}}}}}}, 'ct_lookup6': {'children': {'__ct_lookup': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ct_entry_seen_both_syns': {'children': {}}, 'cilium_dbg': {'children': {}}, 'ct_entry_alive': {'children': {}}, 'ct_entry_closing': {'children': {}}, 'ct_entry_expired_rebalance': {'children': {}}, '__ct_update_timeout': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ct_reset_closing': {'children': {}}}}, 'ipv6_ct_tuple_reverse': {'children': {'ct_flip_tuple_dir6': {'children': {}}, '__ipv6_ct_tuple_reverse': {'children': {'ipv6_addr_copy': {'children': {}}}}}}, 'cilium_dbg': {'children': {}}, 'cilium_dbg3': {'children': {}}}}, 'get_ct_map6': {'children': {}}, 'send_policy_verdict_notify': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'policy_verdict_filter_allow': {'children': {}}}}, 'cilium_dbg': {'children': {}}, 'ct_create6': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'cilium_dbg3': {'children': {}}, 'send_signal_ct_fill_up': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}, 'ipv6_hdrlen': {'children': {'ipv6_authlen': {'children': {}}, 'ipv6_optlen': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}}}, 'to_host_from_lxc': {'children': {'validate_ethertype': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, 'ctx_get_protocol': {'children': {'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}}}, 'tail_call_dynamic': {'children': {}}}}}",{'handle_lxc_traffic': {'children': {}}},{'handle_lxc_traffic': {'children': {}}},{'handle_lxc_traffic': {'children': {}}},{'handle_lxc_traffic': {'children': {}}},1,1,1,191,1,1,1,1
__revalidate_data_pull,{'__revalidate_data_pull': {'children': {}}},{'__revalidate_data_pull': {'children': {}}},{'__revalidate_data_pull': {'children': {}}},"{'__revalidate_data_pull': {'children': {'____revalidate_data_pull': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}}",{'__revalidate_data_pull': {'children': {}}},{'__revalidate_data_pull': {'children': {}}},{'__revalidate_data_pull': {'children': {}}},{'__revalidate_data_pull': {'children': {}}},1,1,1,4,1,1,1,1
tail_nodeport_ipv6_dsr,{'tail_nodeport_ipv6_dsr': {'children': {}}},{'tail_nodeport_ipv6_dsr': {'children': {}}},{'tail_nodeport_ipv6_dsr': {'children': {}}},"{'tail_nodeport_ipv6_dsr': {'children': {'dsr_fail_needs_reply': {'children': {}}, 'eth_store_daddr': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}, 'eth_store_daddr_aligned': {'children': {}}}}, 'ctx_load_meta': {'children': {}}, 'maybe_add_l2_hdr': {'children': {'ctx_change_head': {'children': {}}, 'ctx_get_protocol': {'children': {'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'eth_store_proto': {'children': {}}}}, 'ctx_redirect': {'children': {}}, 'dsr_set_ipip6': {'children': {'dsr_is_too_big': {'children': {}}, 'ctx_adjust_hroom': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memmove_fwd': {'children': {'__bpf_memmove_builtin': {'children': {}}}}}}, 'ctx_adjust_hroom_dsr_flags': {'children': {}}, 'rss_gen_src6': {'children': {'hash_32': {'children': {}}}}}}, 'cilium_capture_out': {'children': {'cilium_capture_cached': {'children': {}}, '__cilium_capture_out': {'children': {'cilium_capture': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}}}}}, 'dsr_set_ext6': {'children': {'dsr_is_too_big': {'children': {}}, 'ctx_adjust_hroom': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memmove_fwd': {'children': {'__bpf_memmove_builtin': {'children': {}}}}}}, 'ctx_adjust_hroom_dsr_flags': {'children': {}}, 'ipv6_addr_copy': {'children': {}}}}, 'ctx_get_ifindex': {'children': {}}, 'dsr_reply_icmp6': {'children': {'ctx_data': {'children': {}}, 'eth_load_daddr': {'children': {}}, 'eth_store_daddr': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}, 'eth_store_daddr_aligned': {'children': {}}}}, 'ctx_get_ifindex': {'children': {}}, 'ctx_redirect': {'children': {}}, 'ctx_adjust_troom': {'children': {}}, 'ctx_adjust_hroom': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memmove_fwd': {'children': {'__bpf_memmove_builtin': {'children': {}}}}}}, 'ctx_data_end': {'children': {}}, 'csum_fold': {'children': {}}, 'eth_load_saddr': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ctx_adjust_hroom_dsr_flags': {'children': {}}, 'update_metrics': {'children': {}}, 'ipv6_pseudohdr_checksum': {'children': {}}, 'eth_store_saddr': {'children': {'eth_store_saddr_aligned': {'children': {}}, 'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}}}}}, 'eth_store_saddr': {'children': {'eth_store_saddr_aligned': {'children': {}}, 'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}}",{'tail_nodeport_ipv6_dsr': {'children': {}}},{'tail_nodeport_ipv6_dsr': {'children': {}}},{'tail_nodeport_ipv6_dsr': {'children': {}}},{'tail_nodeport_ipv6_dsr': {'children': {}}},1,1,1,83,1,1,1,1
__bpf_no_builtin_memset,{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},{'__bpf_no_builtin_memset': {'children': {}}},1,1,1,1,1,1,1,1
__fswab16,{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},{'__fswab16': {'children': {}}},1,1,1,1,1,1,1,1
gue_record_route,{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {}}},{'gue_record_route': {'children': {'get_next_ports': {'children': {}}}}},1,1,1,1,1,1,1,2
from_network,{'from_network': {'children': {}}},{'from_network': {'children': {}}},{'from_network': {'children': {}}},"{'from_network': {'children': {'do_decrypt': {'children': {'ctx_redirect': {'children': {}}}}, 'bpf_clear_meta': {'children': {}}, 'validate_ethertype': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, 'ctx_get_protocol': {'children': {'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'send_trace_notify': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'emit_trace_notify': {'children': {}}, 'update_trace_metrics': {'children': {'update_metrics': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'memset': {'children': {'__bpf_memzero': {'children': {'__bpf_memset_builtin': {'children': {}}}}, '__bpf_memset_builtin': {'children': {}}}}}}}}}",{'from_network': {'children': {}}},{'from_network': {'children': {}}},{'from_network': {'children': {}}},{'from_network': {'children': {}}},1,1,1,25,1,1,1,1
ipv6_load_nexthdr,{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},{'ipv6_load_nexthdr': {'children': {}}},1,1,1,1,1,1,1,1
encap_v4,{'encap_v4': {'children': {}}},{'encap_v4': {'children': {}}},{'encap_v4': {'children': {}}},{'encap_v4': {'children': {}}},{'encap_v4': {'children': {}}},{'encap_v4': {'children': {}}},{'encap_v4': {'children': {}}},{'encap_v4': {'children': {'create_v4_hdr': {'children': {'ipv4_csum_inline': {'children': {'csum_fold_helper': {'children': {}}}}}}}}},1,1,1,1,1,1,1,4
TRACEPOINT_PROBE,{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},{'TRACEPOINT_PROBE': {'children': {}}},1,1,1,1,1,1,1,1
tail_lb_ipv6,{'tail_lb_ipv6': {'children': {}}},{'tail_lb_ipv6': {'children': {}}},{'tail_lb_ipv6': {'children': {}}},"{'tail_lb_ipv6': {'children': {'bpf_xdp_exit': {'children': {'ctx_load_meta': {'children': {}}, 'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_meta': {'children': {}}}}, 'bpf_skip_nodeport': {'children': {'ctx_skip_nodeport': {'children': {'ctx_load_meta': {'children': {}}}}}}, 'nodeport_lb6': {'children': {'nodeport_uses_dsr6': {'children': {'nodeport_uses_dsr': {'children': {}}}}, 'lb6_lookup_service': {'children': {'lb6_svc_is_l7loadbalancer': {'children': {}}, 'lb6_svc_is_local_scope': {'children': {}}}}, 'ct_lookup6': {'children': {'__ct_lookup': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ct_entry_seen_both_syns': {'children': {}}, 'cilium_dbg': {'children': {}}, 'ct_entry_alive': {'children': {}}, 'ct_entry_closing': {'children': {}}, 'ct_entry_expired_rebalance': {'children': {}}, '__ct_update_timeout': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ct_reset_closing': {'children': {}}}}, 'ipv6_ct_tuple_reverse': {'children': {'ct_flip_tuple_dir6': {'children': {}}, '__ipv6_ct_tuple_reverse': {'children': {'ipv6_addr_copy': {'children': {}}}}}}, 'cilium_dbg': {'children': {}}, 'cilium_dbg3': {'children': {}}}}, 'edt_set_aggregate': {'children': {}}, '__lookup_ip6_endpoint': {'children': {}}, 'is_v4_in_v6': {'children': {'ipv6_addrcmp': {'children': {}}}}, 'lb6_svc_is_hostport': {'children': {}}, 'lb6_src_range_ok': {'children': {'lb6_svc_has_src_range_check': {'children': {}}}}, 'lb6_svc_is_l7loadbalancer': {'children': {}}, 'get_ct_map6': {'children': {}}, 'ct_create6': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'cilium_dbg3': {'children': {}}, 'send_signal_ct_fill_up': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}, 'lb6_extract_key': {'children': {'extract_l4_port': {'children': {'ipv4_handle_fragmentation': {'children': {'ipv4_frag_get_l4ports': {'children': {'memcpy': {'children': {'__bpf_memcpy': {'children': {'__bpf_memcpy_builtin': {'children': {}}}}}}}}, 'ipv4_is_not_first_fragment': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'update_metrics': {'children': {}}, 'ipv4_is_fragment': {'children': {}}, 'ct_to_metrics_dir': {'children': {}}}}, 'l4_load_port': {'children': {}}}}, 'csum_l4_offset_and_flags': {'children': {}}, 'ipv6_addr_copy': {'children': {}}}}, 'send_trace_notify': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'emit_trace_notify': {'children': {}}, 'update_trace_metrics': {'children': {'update_metrics': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'memset': {'children': {'__bpf_memzero': {'children': {'__bpf_memset_builtin': {'children': {}}}}, '__bpf_memset_builtin': {'children': {}}}}}}, 'cilium_capture_in': {'children': {'__cilium_capture_in': {'children': {'cilium_capture': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}}}, 'cilium_capture_candidate': {'children': {'cilium_capture_classify_wcard': {'children': {'cilium_capture4_classify_wcard': {'children': {'cilium_capture4_masked_key': {'children': {}}, 'ipv4_hdrlen': {'children': {}}}}, 'validate_ethertype': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, 'ctx_get_protocol': {'children': {'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'cilium_capture6_classify_wcard': {'children': {'cilium_capture6_masked_key': {'children': {}}, 'ipv6_hdrlen': {'children': {'ipv6_authlen': {'children': {}}, 'ipv6_optlen': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}}}}}}}, 'ctx_redirect_to_proxy_hairpin_ipv6': {'children': {'ctx_redirect_to_proxy_hairpin': {'children': {'ipv6_l3': {'children': {'ipv6_dec_hoplimit': {'children': {}}, 'icmp6_send_time_exceeded': {'children': {'ctx_store_meta': {'children': {}}, 'ep_tail_call': {'children': {'tail_call_static': {'children': {}}}}}}, 'eth_store_daddr': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}, 'eth_store_daddr_aligned': {'children': {}}}}, 'eth_store_saddr': {'children': {'eth_store_saddr_aligned': {'children': {}}, 'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}}}}}, 'ipv4_l3': {'children': {'ipv4_dec_ttl': {'children': {}}, 'eth_store_saddr': {'children': {'eth_store_saddr_aligned': {'children': {}}, 'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}}}, 'eth_store_daddr': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}, 'eth_store_daddr_aligned': {'children': {}}}}}}, 'ctx_store_meta': {'children': {}}, 'cilium_dbg': {'children': {}}, 'bpf_barrier': {'children': {}}, 'ctx_redirect': {'children': {}}}}}}, 'ctx_store_meta': {'children': {}}, 'eth_addrcmp': {'children': {}}, 'ipv6_hdrlen': {'children': {'ipv6_authlen': {'children': {}}, 'ipv6_optlen': {'children': {}}}}, 'ctx_set_xfer': {'children': {'ctx_store_meta': {'children': {}}}}, 'eth_load_saddr': {'children': {}}, 'lb6_local': {'children': {'ct_update6_rev_nat_index': {'children': {}}, 'lb_skip_l4_dnat': {'children': {}}, 'lb6_update_affinity_by_addr': {'children': {'__lb6_update_affinity': {'children': {'ipv6_addr_copy': {'children': {}}}}}}, 'lb6_select_backend_id': {'children': {'hash_from_tuple_v6': {'children': {}}, 'lb6_lookup_backend_slot': {'children': {'__lb6_lookup_backend_slot': {'children': {}}}}, 'map_array_get_32': {'children': {}}}}, 'lb6_lookup_service': {'children': {'lb6_svc_is_l7loadbalancer': {'children': {}}, 'lb6_svc_is_local_scope': {'children': {}}}}, 'ct_lookup6': {'children': {'__ct_lookup': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ct_entry_seen_both_syns': {'children': {}}, 'cilium_dbg': {'children': {}}, 'ct_entry_alive': {'children': {}}, 'ct_entry_closing': {'children': {}}, 'ct_entry_expired_rebalance': {'children': {}}, '__ct_update_timeout': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ct_reset_closing': {'children': {}}}}, 'ipv6_ct_tuple_reverse': {'children': {'ct_flip_tuple_dir6': {'children': {}}, '__ipv6_ct_tuple_reverse': {'children': {'ipv6_addr_copy': {'children': {}}}}}}, 'cilium_dbg': {'children': {}}, 'cilium_dbg3': {'children': {}}}}, 'ct_update6_backend_id': {'children': {}}, 'ct_create6': {'children': {'relax_verifier': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'cilium_dbg3': {'children': {}}, 'send_signal_ct_fill_up': {'children': {}}, 'ct_update_timeout': {'children': {'__ct_update_timeout': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}, 'lb6_svc_is_affinity': {'children': {}}, 'lb6_affinity_backend_id_by_addr': {'children': {'__lb6_affinity_backend_id': {'children': {'ipv6_addr_copy': {'children': {}}}}}}, 'lb6_xlate': {'children': {'l4_modify_port': {'children': {'csum_l4_replace': {'children': {}}}}, 'ipv6_store_daddr': {'children': {}}, 'csum_l4_replace': {'children': {}}}}, 'lb6_lookup_backend': {'children': {'__lb6_lookup_backend': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}, 'ep_tail_call': {'children': {'tail_call_static': {'children': {}}}}, 'lb6_to_lb4_service': {'children': {}}, 'lb6_svc_is_routable': {'children': {'__lb_svc_is_routable': {'children': {}}}}, 'ipv6_addr_copy': {'children': {}}}}}}}",{'tail_lb_ipv6': {'children': {}}},{'tail_lb_ipv6': {'children': {}}},{'tail_lb_ipv6': {'children': {}}},{'tail_lb_ipv6': {'children': {}}},1,1,1,220,1,1,1,1
healthcheck_encap,{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {}}},{'healthcheck_encap': {'children': {'set_hc_key': {'children': {}}}}},1,1,1,1,1,1,1,2
tail_icmp6_send_time_exceeded,{'tail_icmp6_send_time_exceeded': {'children': {}}},{'tail_icmp6_send_time_exceeded': {'children': {}}},{'tail_icmp6_send_time_exceeded': {'children': {}}},"{'tail_icmp6_send_time_exceeded': {'children': {'__icmp6_send_time_exceeded': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'ipv6_store_nexthdr': {'children': {}}, 'cilium_dbg': {'children': {}}, 'icmp6_send_reply': {'children': {'eth_load_saddr': {'children': {}}, 'cilium_dbg_capture': {'children': {'cilium_dbg_capture2': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}}}, 'ipv6_store_daddr': {'children': {}}, 'eth_store_daddr': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}, 'eth_store_daddr_aligned': {'children': {}}}}, 'eth_store_saddr': {'children': {'eth_store_saddr_aligned': {'children': {}}, 'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, '__bpf_memcpy_builtin': {'children': {}}, 'ctx_no_room': {'children': {}}}}, 'redirect_self': {'children': {'ctx_redirect': {'children': {}}}}, 'ctx_get_ifindex': {'children': {}}, 'ipv6_load_daddr': {'children': {}}, 'ipv6_load_saddr': {'children': {}}, 'ipv6_store_saddr': {'children': {}}}}, 'ipv6_store_paylen': {'children': {}}, 'compute_icmp6_csum': {'children': {'ipv6_pseudohdr_checksum': {'children': {}}}}}}, 'ctx_store_meta': {'children': {}}, 'ctx_load_meta': {'children': {}}}}}",{'tail_icmp6_send_time_exceeded': {'children': {}}},{'tail_icmp6_send_time_exceeded': {'children': {}}},{'tail_icmp6_send_time_exceeded': {'children': {}}},{'tail_icmp6_send_time_exceeded': {'children': {}}},1,1,1,38,1,1,1,1
handle_xgress,{'handle_xgress': {'children': {}}},{'handle_xgress': {'children': {}}},{'handle_xgress': {'children': {}}},"{'handle_xgress': {'children': {'validate_ethertype': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}, 'ctx_get_protocol': {'children': {'ctx_data': {'children': {}}, 'ctx_no_room': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'reset_queue_mapping': {'children': {}}, 'edt_set_aggregate': {'children': {}}, 'ep_tail_call': {'children': {'tail_call_static': {'children': {}}}}, 'send_trace_notify': {'children': {'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}, 'emit_trace_notify': {'children': {}}, 'update_trace_metrics': {'children': {'update_metrics': {'children': {}}, 'ctx_full_len': {'children': {'ctx_data': {'children': {}}, 'ctx_data_end': {'children': {}}}}}}, 'memset': {'children': {'__bpf_memzero': {'children': {'__bpf_memset_builtin': {'children': {}}}}, '__bpf_memset_builtin': {'children': {}}}}}}, 'bpf_clear_meta': {'children': {}}}}}",{'handle_xgress': {'children': {}}},{'handle_xgress': {'children': {}}},{'handle_xgress': {'children': {}}},{'handle_xgress': {'children': {}}},1,1,1,27,1,1,1,1
