,bpf-filter-master,cilium,ebpf-ratelimiter-main,katran,ingress-node-firewall-master,bcc,xdp-mptm-main,ebpf-samples,bpf-filter-master_count,cilium_count,ebpf-ratelimiter-main_count,katran_count,ingress-node-firewall-master_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
ktime_get_ns,[],['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/edt.h'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
xdp_adjust_head,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
XDP_PASS,[],[],"['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c']","['/home/palani/github/ebpf-projects-annotations/examples/katran/decap_kern.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/xdp_root.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/xdp_pktcntr.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/handle_icmp.h', '/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/decap_kern.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/xdp_root.c', '/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_helpers.h', '/home/palani/github/ebpf-projects-annotations/examples/katran/handle_icmp.h', '/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']",['/home/sayandes/ebpf-projects-annotations/projects/ingress-node-firewall-master/original_source/bpf/ingress_node_firewall_kernel.c'],[],"['/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm_extras.c', '/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/lib/pkt-encap.h', '/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm.c', '/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/lib/pkt-encap.h', '/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm.c']",[],0,0,4,12,1,0,5,0
msg_redirect_hash,[],['/home/palani/github/ebpf-projects-annotations/examples/cilium/sockops/bpf_redir.c'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
strtol,[],[],"['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c']",[],[],[],[],[],0,0,2,0,0,0,0,0
fib_lookup,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/fib.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/fib.h']",[],[],[],[],[],[],0,9,0,0,0,0,0,0
bpf_map_delete_elem,[],[],"['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c', '/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c']",[],[],[],[],[],0,0,2,0,0,0,0,0
csum_diff,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_host.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/ipv6.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat_46x64.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat_46x64.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/csum.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/encap.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/icmp6.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/icmp6.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/icmp6.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat_46x64.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat_46x64.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/icmp6.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']",[],[],[],[],[],[],0,24,0,0,0,0,0,0
map_update_elem,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/metrics.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/custom/bytecount.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']",[],[],[],[],[],[],0,13,0,0,0,0,0,0
xdp_adjust_tail,[],['/home/palani/github/ebpf-projects-annotations/examples/cilium/include/bpf/ctx/xdp.h'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
map_delete_elem,[],"['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h', '/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h']",[],[],[],[],[],[],0,8,0,0,0,0,0,0
