,katran,ebpf-ratelimiter-main,ingress-node-firewall-master,bpf-filter-master,cilium,bcc,xdp-mptm-main,ebpf-samples,katran_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,bpf-filter-master_count,cilium_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
SRV6_POLICY_MAP4,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
hc_ctrl_map,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_ipip.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_kern.c']]",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
LB4_REVERSE_NAT_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
CT_TAIL_CALL_BUFFER6,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c']]",[],[],[],0,0,0,0,2,0,0,0
reals_stats,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
map,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/conntrack.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/policy.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/policy.h']]",[],[],"[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/twotypes.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/mapvalue-overrun.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/twomaps.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/badmapptr.c']]",0,0,0,0,16,0,0,4
LB4_MAGLEV_MAP_OUTER,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
IPV4_FRAG_DATAGRAMS_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/ipv4.h']],[],[],[],0,0,0,0,1,0,0,0
LB4_REVERSE_NAT_SK_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c']]",[],[],[],0,0,0,0,2,0,0,0
test_map,[],[],[],[],[],[],[],[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/nullmapref.c']],0,0,0,0,0,0,0,1
